"","sequence_ID","sample_ID","sequencing_ID","sample_type","organism_water","number","time_point","date","lake","elevation_m","temp_C","chla_ug.L","pH","DO_perc","spc","cond","DOC","TDN","TDP","phy_group","elev.cat","read.sum"
"132","230_16S","119_Z","MP_154_16S","Zooplankton","Daphnia",30,"3","2022-07-22","Serene",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"cladocera","Above",16408
"133","231_16S","86_Z","MP_155_16S","Zooplankton","Bosmina",50,"3","2022-07-22","Convict",2315,18.2,0.2,8.34,76.7,164.8,143.5,0.8,103.23,204.95,"cladocera","Below",2149
"134","232_16S","60_Z22","MP_156_16S","Zooplankton","Daphnia",30,"1","2022-06-29","Blue",3005,12.8,0.34,7.97,73.8,97.5,74.7,0.8,137.16,22.6,"cladocera","Above",17823
"135","233_16S","43_Z","MP_157_16S","Zooplankton","Daphnia",30,"2","2022-07-09","Cooney",3116,14.3,0.3,6.94,77.5,109.6,87.1,1,74.73,9.29,"cladocera","Above",7989
"136","234_16S","114_Z","MP_158_16S","Zooplankton","Calanoid",50,"3","2022-07-22","Serene",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"copepoda","Above",7673
"137","235_16S","129_Z","MP_159_16S","Zooplankton","Daphnia",30,"4","2022-08-04","Virginia",2983,17.7,0.34,8.61,77.4,102.1,87.8,66.6,3228.98,4.02,"cladocera","Above",6760
"138","236_16S","60_Z","MP_160_16S","Zooplankton","Daphnia",30,"3","2022-07-21","Blue",3005,17,0.22,8.48,81.3,100.2,84.9,0.9,79.48,6.19,"cladocera","Above",4595
"139","237_16S","42_Z","MP_161_16S","Zooplankton","Daphnia",30,"2","2022-07-09","Cooney",3116,14.3,0.3,6.94,77.5,109.6,87.1,1,74.73,9.29,"cladocera","Above",3923
"140","238_16S","20_Z","MP_162_16S","Zooplankton","Daphnia",30,"2","2022-07-09","Blue",3005,14.8,0.42,7.04,82.1,98.7,79.4,0.9,264.74,149.54,"cladocera","Above",1818
"141","239_16S","108_Z","MP_163_16S","Zooplankton","Cyclopoid",50,"3","2022-07-22","Eastern Brook",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"copepoda","Above",8380
"142","24_16S","53_Z22","MP_164_16S","Zooplankton","Ceriodaphnia",58,"1","2022-06-26","Serene",3124,14.4,1.31,6.96,69.5,17.6,14,2.7,211.83,10.84,"cladocera","Above",802
"143","240_16S","69_Z","MP_165_16S","Zooplankton","Daphnia",30,"3","2022-07-21","Virginia",2983,18.7,0.35,8.48,81.4,93,81.9,1.1,217.24,7.74,"cladocera","Above",483
"144","241_16S","35_Z","MP_166_16S","Zooplankton","Daphnia",30,"2","2022-07-09","Virginia",2983,16.1,0.58,7.32,80.5,91.6,76.1,1.1,872.79,NA,"cladocera","Above",2372
"145","242_16S","103_Z","MP_167_16S","Zooplankton","Daphnia",30,"3","2022-07-22","Eastern Brook",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"cladocera","Above",4013
"146","244_16S","12_Z","MP_169_16S","Zooplankton","Ceriodaphnia",50,"2","2022-07-06","Serene",3124,16.8,1.39,8.65,70,17.8,15,3,697.03,4102.48,"cladocera","Above",108775
"147","246_16S","33_Z","MP_171_16S","Zooplankton","Daphnia",30,"2","2022-07-09","Virginia",2983,16.1,0.58,7.32,80.5,91.6,76.1,1.1,872.79,NA,"cladocera","Above",1698
"148","247_16S","120_Z","MP_172_16S","Zooplankton","Daphnia",30,"3","2022-07-22","Serene",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"cladocera","Above",74007
"149","248_16S","10_Z","MP_173_16S","Zooplankton","Ceriodaphnia",50,"2","2022-07-06","Serene",3124,16.8,1.39,8.65,70,17.8,15,3,697.03,4102.48,"cladocera","Above",1773
"150","249_16S","7_Z22","MP_174_16S","Zooplankton","Daphnia",20,"1","2022-06-25","Convict",2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA,"cladocera","Below",1321
"151","25_16S","123_Z","MP_175_16S","Zooplankton","Holopedium",10,"3","2022-07-22","Serene",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"cladocera","Above",6306
"152","250_16S","24_Z","MP_176_16S","Zooplankton","Cyclopoid",50,"2","2022-07-09","Blue",3005,14.8,0.42,7.04,82.1,98.7,79.4,0.9,264.74,149.54,"copepoda","Above",741
"153","251_16S","80_Z","MP_177_16S","Zooplankton","Daphnia",30,"3","2022-07-22","Convict",2315,18.2,0.2,8.34,76.7,164.8,143.5,0.8,103.23,204.95,"cladocera","Below",1981
"154","253_16S","68_Z","MP_179_16S","Zooplankton","Daphnia",30,"3","2022-07-21","Virginia",2983,18.7,0.35,8.48,81.4,93,81.9,1.1,217.24,7.74,"cladocera","Above",390
"155","254_16S","104_Z","MP_180_16S","Zooplankton","Calanoid",50,"3","2022-07-22","Eastern Brook",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"copepoda","Above",6045
"156","255_16S","14_Z","MP_181_16S","Zooplankton","Daphnia",30,"2","2022-07-06","Eastern Brook",3155,16,0.93,8.6,73.8,20.6,17,3.4,409.63,13.62,"cladocera","Above",2648
"157","256_16S","109_Z","MP_182_16S","Zooplankton","Cyclopoid",50,"3","2022-07-22","Eastern Brook",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"copepoda","Above",7812
"158","257_16S","91_Z","MP_183_16S","Zooplankton","Daphnia",30,"3","2022-07-21","Cooney",3116,16.7,0.43,8.61,76.8,112.9,95,1,84.23,369.04,"cladocera","Above",1908
"159","258_16S","99_Z","MP_184_16S","Zooplankton","Bosmina",50,"3","2022-07-21","Cooney",3116,16.7,0.43,8.61,76.8,112.9,95,1,84.23,369.04,"cladocera","Above",10448
"160","26_16S","50_Z","MP_186_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"cladocera","Above",338
"161","260_16S","128_Z","MP_187_16S","Zooplankton","Ceriodaphnia",50,"3","2022-07-22","Serene",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"cladocera","Above",15718
"162","261_16S","115_Z","MP_188_16S","Zooplankton","Calanoid",50,"3","2022-07-22","Serene",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"copepoda","Above",210777
"163","262_16S","66_Z","MP_189_16S","Zooplankton","Daphnia",30,"3","2022-07-21","Virginia",2983,18.7,0.35,8.48,81.4,93,81.9,1.1,217.24,7.74,"cladocera","Above",137
"164","263_16S","105_Z","MP_190_16S","Zooplankton","Calanoid",50,"3","2022-07-22","Eastern Brook",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"copepoda","Above",27939
"165","264_16S","89_Z","MP_191_16S","Zooplankton","Daphnia",30,"3","2022-07-21","Cooney",3116,16.7,0.43,8.61,76.8,112.9,95,1,84.23,369.04,"cladocera","Above",10885
"166","265_16S","36_Z","MP_192_16S","Zooplankton","Daphnia",30,"2","2022-07-09","Virginia",2983,16.1,0.58,7.32,80.5,91.6,76.1,1.1,872.79,NA,"cladocera","Above",555
"167","266_16S","176_Z","MP_193_16S","Zooplankton","Daphnia",30,"4","2022-08-09","Eastern Brook",3155,16,1.59,7.7,67.2,23,19,3.1,259.99,6.81,"cladocera","Above",13230
"168","267_16S","162_Z","MP_194_16S","Zooplankton","Calanoid",50,"4","2022-08-05","Convict",2315,18.4,0.81,8.48,78.9,178.5,156,51.9,NA,4.02,"copepoda","Below",303
"169","268_16S","134_Z","MP_195_16S","Zooplankton","Cyclopoid",50,"4","2022-08-04","Virginia",2983,17.7,0.34,8.61,77.4,102.1,87.8,66.6,3228.98,4.02,"copepoda","Above",1349
"170","269_16S","186_Z","MP_196_16S","Zooplankton","Calanoid",50,"4","2022-08-09","Serene",3124,16.9,1.55,7.94,69.2,20.1,17,3,188.74,6.19,"copepoda","Above",1710
"171","27_16S","172_Z","MP_197_16S","Zooplankton","Cyclopoid",50,"4","2022-08-04","Cooney",3116,16.2,0.87,7.77,74.5,126.8,105.5,99.2,5982.29,7.43,"copepoda","Above",3876
"172","270_16S","150_Z","MP_198_16S","Zooplankton","Cyclopoid",50,"4","2022-08-04","Blue",3005,16.3,0.02,7.99,75.6,110.7,92.3,1.9,100.86,3.41,"copepoda","Above",174
"173","272_16S","184_Z","MP_200_16S","Zooplankton","Calanoid",50,"4","2022-08-09","Serene",3124,16.9,1.55,7.94,69.2,20.1,17,3,188.74,6.19,"copepoda","Above",1234
"174","273_16S","153_Z","MP_201_16S","Zooplankton","Bosmina",50,"4","2022-08-05","Convict",2315,18.4,0.81,8.48,78.9,178.5,156,51.9,NA,4.02,"cladocera","Below",458
"175","274_16S","130_Z","MP_202_16S","Zooplankton","Daphnia",30,"4","2022-08-04","Virginia",2983,17.7,0.34,8.61,77.4,102.1,87.8,66.6,3228.98,4.02,"cladocera","Above",113
"176","275_16S","142_Z","MP_203_16S","Zooplankton","Daphnia",30,"4","2022-08-04","Blue",3005,16.3,0.02,7.99,75.6,110.7,92.3,1.9,100.86,3.41,"cladocera","Above",279
"177","276_16S","197_Z","MP_204_16S","Zooplankton","Holopedium",10,"4","2022-08-09","Serene",3124,16.9,1.55,7.94,69.2,20.1,17,3,188.74,6.19,"cladocera","Above",4146
"178","277_16S","190_Z","MP_205_16S","Zooplankton","Daphnia",30,"4","2022-08-09","Serene",3124,16.9,1.55,7.94,69.2,20.1,17,3,188.74,6.19,"cladocera","Above",216135
"179","278_16S","135_Z","MP_206_16S","Zooplankton","Cyclopoid",50,"4","2022-08-04","Virginia",2983,17.7,0.34,8.61,77.4,102.1,87.8,66.6,3228.98,4.02,"copepoda","Above",16915
"180","279_16S","168_Z","MP_207_16S","Zooplankton","Calanoid",50,"4","2022-08-04","Cooney",3116,16.2,0.87,7.77,74.5,126.8,105.5,99.2,5982.29,7.43,"copepoda","Above",10572
"181","280_16S","173_Z","MP_209_16S","Zooplankton","Cyclopoid",50,"4","2022-08-04","Cooney",3116,16.2,0.87,7.77,74.5,126.8,105.5,99.2,5982.29,7.43,"copepoda","Above",786
"182","281_16S","209_Z","MP_210_16S","Zooplankton","Calanoid",50,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"copepoda","Above",2031
"183","282_16S","136_Z","MP_211_16S","Zooplankton","Cyclopoid",50,"4","2022-08-04","Virginia",2983,17.7,0.34,8.61,77.4,102.1,87.8,66.6,3228.98,4.02,"copepoda","Above",3464
"184","283_16S","181_Z","MP_212_16S","Zooplankton","Cyclopoid",50,"4","2022-08-09","Eastern Brook",3155,16,1.59,7.7,67.2,23,19,3.1,259.99,6.81,"copepoda","Above",118042
"185","284_16S","154_Z","MP_213_16S","Zooplankton","Daphnia",30,"4","2022-08-05","Convict",2315,18.4,0.81,8.48,78.9,178.5,156,51.9,NA,4.02,"cladocera","Below",2987
"186","285_16S","137_Z","MP_214_16S","Zooplankton","Calanoid",50,"4","2022-08-04","Virginia",2983,17.7,0.34,8.61,77.4,102.1,87.8,66.6,3228.98,4.02,"copepoda","Above",690
"187","286_16S","152_Z","MP_215_16S","Zooplankton","Bosmina",50,"4","2022-08-05","Convict",2315,18.4,0.81,8.48,78.9,178.5,156,51.9,NA,4.02,"cladocera","Below",3761
"188","287_16S","203_Z","MP_216_16S","Zooplankton","Cyclopoid",50,"5","2022-08-22","Cooney",3116,17.9,0,8.07,69.8,177.3,139.8,31.3,NA,NA,"copepoda","Above",26839
"189","288_16S","175_Z","MP_217_16S","Zooplankton","Daphnia",30,"4","2022-08-09","Eastern Brook",3155,16,1.59,7.7,67.2,23,19,3.1,259.99,6.81,"cladocera","Above",6245
"190","289_16S","194_Z","MP_218_16S","Zooplankton","Holopedium",10,"4","2022-08-09","Serene",3124,16.9,1.55,7.94,69.2,20.1,17,3,188.74,6.19,"cladocera","Above",20029
"191","290_16S","205_Z","MP_220_16S","Zooplankton","Cyclopoid",50,"5","2022-08-22","Cooney",3116,17.9,0,8.07,69.8,177.3,139.8,31.3,NA,NA,"copepoda","Above",597
"192","291_16S","145_Z","MP_221_16S","Zooplankton","Calanoid",50,"4","2022-08-04","Blue",3005,16.3,0.02,7.99,75.6,110.7,92.3,1.9,100.86,3.41,"copepoda","Above",13793
"193","292_16S","164_Z","MP_222_16S","Zooplankton","Daphnia",30,"4","2022-08-04","Cooney",3116,16.2,0.87,7.77,74.5,126.8,105.5,99.2,5982.29,7.43,"cladocera","Above",7152
"194","293_16S","216_Z","MP_223_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Virginia",2983,19.5,0.83,8.48,75.6,105.4,87.9,7.75,NA,NA,"cladocera","Above",4282
"195","294_16S","160_Z","MP_224_16S","Zooplankton","Cyclopoid",50,"4","2022-08-05","Convict",2315,18.4,0.81,8.48,78.9,178.5,156,51.9,NA,4.02,"copepoda","Below",1566
"196","295_16S","178_Z","MP_225_16S","Zooplankton","Cyclopoid",50,"4","2022-08-09","Eastern Brook",3155,16,1.59,7.7,67.2,23,19,3.1,259.99,6.81,"copepoda","Above",79493
"197","296_16S","144_Z","MP_226_16S","Zooplankton","Calanoid",50,"4","2022-08-04","Blue",3005,16.3,0.02,7.99,75.6,110.7,92.3,1.9,100.86,3.41,"copepoda","Above",328
"198","297_16S","219_Z","MP_227_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Virginia",2983,19.5,0.83,8.48,75.6,105.4,87.9,7.75,NA,NA,"cladocera","Above",2864
"199","298_16S","170_Z","MP_228_16S","Zooplankton","Calanoid",50,"4","2022-08-04","Cooney",3116,16.2,0.87,7.77,74.5,126.8,105.5,99.2,5982.29,7.43,"copepoda","Above",158
"200","299_16S","185_Z","MP_229_16S","Zooplankton","Calanoid",50,"4","2022-08-09","Serene",3124,16.9,1.55,7.94,69.2,20.1,17,3,188.74,6.19,"copepoda","Above",30301
"201","30_16S","221_Z","MP_230_16S","Zooplankton","Cyclopoid",50,"5","2022-08-22","Virginia",2983,19.5,0.83,8.48,75.6,105.4,87.9,7.75,NA,NA,"copepoda","Above",15974
"202","300_16S","174_Z","MP_231_16S","Zooplankton","Daphnia",30,"4","2022-08-09","Eastern Brook",3155,16,1.59,7.7,67.2,23,19,3.1,259.99,6.81,"cladocera","Above",320
"203","301_16S","201_Z","MP_232_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Cooney",3116,17.9,0,8.07,69.8,177.3,139.8,31.3,NA,NA,"cladocera","Above",1702
"204","302_16S","148_Z","MP_233_16S","Zooplankton","Cyclopoid",50,"4","2022-08-04","Blue",3005,16.3,0.02,7.99,75.6,110.7,92.3,1.9,100.86,3.41,"copepoda","Above",208
"205","303_16S","215_Z","MP_234_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Virginia",2983,19.5,0.83,8.48,75.6,105.4,87.9,7.75,NA,NA,"cladocera","Above",670
"206","304_16S","133_Z","MP_235_16S","Zooplankton","Cyclopoid",50,"4","2022-08-04","Virginia",2983,17.7,0.34,8.61,77.4,102.1,87.8,66.6,3228.98,4.02,"copepoda","Above",3643
"207","305_16S","193_Z","MP_236_16S","Zooplankton","Bosmina",50,"4","2022-08-09","Serene",3124,16.9,1.55,7.94,69.2,20.1,17,3,188.74,6.19,"cladocera","Above",274391
"208","306_16S","217_Z","MP_237_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Virginia",2983,19.5,0.83,8.48,75.6,105.4,87.9,7.75,NA,NA,"cladocera","Above",2876
"209","307_16S","158_Z","MP_238_16S","Zooplankton","Cyclopoid",50,"4","2022-08-05","Convict",2315,18.4,0.81,8.48,78.9,178.5,156,51.9,NA,4.02,"copepoda","Below",2601
"210","308_16S","207_Z","MP_239_16S","Zooplankton","Calanoid",50,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"copepoda","Above",9368
"211","309_16S","188_Z","MP_240_16S","Zooplankton","Daphnia",30,"4","2022-08-09","Serene",3124,16.9,1.55,7.94,69.2,20.1,17,3,188.74,6.19,"cladocera","Above",998
"212","31_16S","138_Z","MP_241_16S","Zooplankton","Calanoid",50,"4","2022-08-04","Virginia",2983,17.7,0.34,8.61,77.4,102.1,87.8,66.6,3228.98,4.02,"copepoda","Above",36273
"213","310_16S","155_Z","MP_242_16S","Zooplankton","Daphnia",30,"4","2022-08-05","Convict",2315,18.4,0.81,8.48,78.9,178.5,156,51.9,NA,4.02,"cladocera","Below",11066
"214","312_16S","167_Z","MP_244_16S","Zooplankton","Daphnia",30,"4","2022-08-05","Convict",2315,18.4,0.81,8.48,78.9,178.5,156,51.9,NA,4.02,"cladocera","Below",1042
"215","314_16S","147_Z","MP_246_16S","Zooplankton","Calanoid",50,"4","2022-08-04","Blue",3005,16.3,0.02,7.99,75.6,110.7,92.3,1.9,100.86,3.41,"copepoda","Above",10609
"216","315_16S","218_Z","MP_247_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Virginia",2983,19.5,0.83,8.48,75.6,105.4,87.9,7.75,NA,NA,"cladocera","Above",46576
"217","316_16S","195_Z","MP_248_16S","Zooplankton","Holopedium",10,"4","2022-08-09","Serene",3124,16.9,1.55,7.94,69.2,20.1,17,3,188.74,6.19,"cladocera","Above",97293
"218","317_16S","161_Z","MP_249_16S","Zooplankton","Cyclopoid",50,"4","2022-08-05","Convict",2315,18.4,0.81,8.48,78.9,178.5,156,51.9,NA,4.02,"copepoda","Below",3983
"219","318_16S","198_Z","MP_250_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Cooney",3116,17.9,0,8.07,69.8,177.3,139.8,31.3,NA,NA,"cladocera","Above",12439
"220","319_16S","180_Z","MP_251_16S","Zooplankton","Cyclopoid",50,"4","2022-08-09","Eastern Brook",3155,16,1.59,7.7,67.2,23,19,3.1,259.99,6.81,"copepoda","Above",168013
"221","32_16S","146_Z","MP_252_16S","Zooplankton","Calanoid",50,"4","2022-08-04","Blue",3005,16.3,0.02,7.99,75.6,110.7,92.3,1.9,100.86,3.41,"copepoda","Above",539
"222","320_16S","187_Z","MP_253_16S","Zooplankton","Calanoid",50,"4","2022-08-09","Serene",3124,16.9,1.55,7.94,69.2,20.1,17,3,188.74,6.19,"copepoda","Above",39629
"223","322_16S","202_Z","MP_255_16S","Zooplankton","Cyclopoid",50,"5","2022-08-22","Cooney",3116,17.9,0,8.07,69.8,177.3,139.8,31.3,NA,NA,"copepoda","Above",6582
"224","323_16S","151_Z","MP_256_16S","Zooplankton","Cyclopoid",35,"4","2022-08-04","Blue",3005,16.3,0.02,7.99,75.6,110.7,92.3,1.9,100.86,3.41,"copepoda","Above",2366
"225","324_16S","204_Z","MP_257_16S","Zooplankton","Cyclopoid",50,"5","2022-08-22","Cooney",3116,17.9,0,8.07,69.8,177.3,139.8,31.3,NA,NA,"copepoda","Above",2497
"226","325_16S","165_Z","MP_258_16S","Zooplankton","Daphnia",30,"4","2022-08-04","Cooney",3116,16.2,0.87,7.77,74.5,126.8,105.5,99.2,5982.29,7.43,"cladocera","Above",737
"227","328_16S","177_Z","MP_261_16S","Zooplankton","Daphnia",30,"4","2022-08-09","Eastern Brook",3155,16,1.59,7.7,67.2,23,19,3.1,259.99,6.81,"cladocera","Above",1649
"228","329_16S","131_Z","MP_262_16S","Zooplankton","Daphnia",30,"4","2022-08-04","Virginia",2983,17.7,0.34,8.61,77.4,102.1,87.8,66.6,3228.98,4.02,"cladocera","Above",5333
"229","33_16S","182_Z","MP_263_16S","Zooplankton","Calanoid",50,"4","2022-08-09","Eastern Brook",3155,16,1.59,7.7,67.2,23,19,3.1,259.99,6.81,"copepoda","Above",595
"230","330_16S","211_Z","MP_264_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"cladocera","Above",5541
"231","331_16S","169_Z","MP_265_16S","Zooplankton","Calanoid",50,"4","2022-08-04","Cooney",3116,16.2,0.87,7.77,74.5,126.8,105.5,99.2,5982.29,7.43,"copepoda","Above",1316
"232","332_16S","213_Z","MP_266_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"cladocera","Above",329
"233","333_16S","149_Z","MP_267_16S","Zooplankton","Cyclopoid",50,"4","2022-08-04","Blue",3005,16.3,0.02,7.99,75.6,110.7,92.3,1.9,100.86,3.41,"copepoda","Above",643
"234","334_16S","220_Z","MP_268_16S","Zooplankton","Cyclopoid",50,"5","2022-08-22","Virginia",2983,19.5,0.83,8.48,75.6,105.4,87.9,7.75,NA,NA,"copepoda","Above",106952
"235","336_16S","156_Z","MP_270_16S","Zooplankton","Daphnia",30,"4","2022-08-05","Convict",2315,18.4,0.81,8.48,78.9,178.5,156,51.9,NA,4.02,"cladocera","Below",10532
"236","337_16S","206_Z","MP_271_16S","Zooplankton","Calanoid",50,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"copepoda","Above",237
"237","338_16S","132_Z","MP_272_16S","Zooplankton","Daphnia",30,"4","2022-08-04","Virginia",2983,17.7,0.34,8.61,77.4,102.1,87.8,66.6,3228.98,4.02,"cladocera","Above",3295
"238","339_16S","139_Z","MP_273_16S","Zooplankton","Calanoid",50,"4","2022-08-04","Virginia",2983,17.7,0.34,8.61,77.4,102.1,87.8,66.6,3228.98,4.02,"copepoda","Above",1619
"239","34_16S","199_Z","MP_274_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Cooney",3116,17.9,0,8.07,69.8,177.3,139.8,31.3,NA,NA,"cladocera","Above",1301
"240","340_16S","159_Z","MP_275_16S","Zooplankton","Cyclopoid",50,"4","2022-08-05","Convict",2315,18.4,0.81,8.48,78.9,178.5,156,51.9,NA,4.02,"copepoda","Below",235
"241","341_16S","208_Z","MP_276_16S","Zooplankton","Calanoid",50,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"copepoda","Above",164
"242","342_16S","200_Z","MP_277_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Cooney",3116,17.9,0,8.07,69.8,177.3,139.8,31.3,NA,NA,"cladocera","Above",3018
"243","343_16S","214_Z","MP_278_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"cladocera","Above",2406
"244","344_16S","171_Z","MP_279_16S","Zooplankton","Calanoid",50,"4","2022-08-04","Cooney",3116,16.2,0.87,7.77,74.5,126.8,105.5,99.2,5982.29,7.43,"copepoda","Above",1794
"245","345_16S","210_Z","MP_280_16S","Zooplankton","Cyclopoid",50,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"copepoda","Above",1783
"246","346_16S","157_Z","MP_281_16S","Zooplankton","Daphnia",30,"4","2022-08-05","Convict",2315,18.4,0.81,8.48,78.9,178.5,156,51.9,NA,4.02,"cladocera","Below",343
"247","347_16S","212_Z","MP_282_16S","Zooplankton","Daphnia",30,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"cladocera","Above",4461
"248","348_16S","179_Z","MP_283_16S","Zooplankton","Cyclopoid",50,"4","2022-08-09","Eastern Brook",3155,16,1.59,7.7,67.2,23,19,3.1,259.99,6.81,"copepoda","Above",701
"249","35_16S","163_Z","MP_285_16S","Zooplankton","Calanoid",50,"4","2022-08-05","Convict",2315,18.4,0.81,8.48,78.9,178.5,156,51.9,NA,4.02,"copepoda","Below",10587
"250","350_16S","192_Z","MP_286_16S","Zooplankton","Bosmina",50,"4","2022-08-09","Serene",3124,16.9,1.55,7.94,69.2,20.1,17,3,188.74,6.19,"cladocera","Above",2135
"251","351_16S","141_Z","MP_287_16S","Zooplankton","Daphnia",30,"4","2022-08-04","Blue",3005,16.3,0.02,7.99,75.6,110.7,92.3,1.9,100.86,3.41,"cladocera","Above",396499
"252","352_16S","183_Z","MP_288_16S","Zooplankton","Calanoid",50,"4","2022-08-09","Eastern Brook",3155,16,1.59,7.7,67.2,23,19,3.1,259.99,6.81,"copepoda","Above",152459
"253","353_16S","27_Z","MP_289_16S","Zooplankton","Calanoid",50,"2","2022-07-07","Convict",2315,15.3,0.28,7.14,84.5,163.2,137.2,1.1,NA,4.33,"copepoda","Below",624
"254","354_16S","39_W","MP_290_16S","Water","Water",NA,"4","2022-08-09","Serene",3124,16.9,1.55,7.94,69.2,20.1,17,3,188.74,6.19,"water","Above",1329
"255","355_16S","1_Z","MP_291_16S","Zooplankton","Daphnia",30,"2","2022-07-06","Eastern Brook",3155,16,0.93,8.6,73.8,20.6,17,3.4,409.63,13.62,"cladocera","Above",2380
"256","356_16S","38_W","MP_292_16S","Water","Water",NA,"4","2022-08-09","Eastern Brook",3155,16,1.59,7.7,67.2,23,19,3.1,259.99,6.81,"water","Above",2211
"257","357_16S","13_Z","MP_293_16S","Zooplankton","Ceriodaphnia",50,"2","2022-07-06","Serene",3124,16.8,1.39,8.65,70,17.8,15,3,697.03,4102.48,"cladocera","Above",8999
"258","358_16S","125_Z","MP_294_16S","Zooplankton","Ceriodaphnia",50,"3","2022-07-22","Serene",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"cladocera","Above",147229
"259","36_16S","32_W","MP_296_16S","Water","Water",NA,"3","2022-07-22","Eastern Brook",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"water","Above",298
"260","360_16S","239_Z","MP_297_16S","Zooplankton","Calanoid",50,"5","2022-08-23","Serene",3124,18.8,1.98,7.9,67.8,20.8,16.5,3,NA,NA,"copepoda","Above",50080
"261","362_16S","225_Z","MP_299_16S","Zooplankton","Daphnia",30,"5","2022-08-23","Eastern Brook",3155,18.1,1.38,8.11,64.8,27.5,21,3.2,NA,NA,"cladocera","Above",335826
"262","363_16S","27_W","MP_300_16S","Water","Water",NA,"2","2022-07-06","Serene",3124,16.8,1.39,8.65,70,17.8,15,3,697.03,4102.48,"water","Above",4439
"263","365_16S","52_W","MP_302_16S","Water","Water",NA,"1","2022-06-26","Serene",3124,14.4,1.31,6.96,69.5,17.6,14,2.7,211.83,10.84,"water","Above",1569
"264","366_16S","228_Z","MP_303_16S","Zooplankton","Cyclopoid",50,"5","2022-08-23","Eastern Brook",3155,18.1,1.38,8.11,64.8,27.5,21,3.2,NA,NA,"copepoda","Above",1077
"265","367_16S","235_Z","MP_304_16S","Zooplankton","Daphnia",30,"5","2022-08-23","Serene",3124,18.8,1.98,7.9,67.8,20.8,16.5,3,NA,NA,"cladocera","Above",246
"266","368_16S","234_Z","MP_305_16S","Zooplankton","Daphnia",30,"5","2022-08-23","Serene",3124,18.8,1.98,7.9,67.8,20.8,16.5,3,NA,NA,"cladocera","Above",279
"267","37_16S","256_Z","MP_306_16S","Zooplankton","Cyclopoid",50,"5","2022-08-23","Convict",2315,20.9,0.39,8.03,73.1,172.3,139.8,2,NA,NA,"copepoda","Below",12598
"268","38_16S","251_Z","MP_307_16S","Zooplankton","Calanoid",50,"5","2022-08-23","Convict",2315,20.9,0.39,8.03,73.1,172.3,139.8,2,NA,NA,"copepoda","Below",2715
"269","39_16S","50_W","MP_308_16S","Water","Water",NA,"1","2022-06-25","Convict",2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA,"water","Below",647
"270","40_16S","246_Z","MP_309_16S","Zooplankton","Daphnia",30,"5","2022-08-23","Convict",2315,20.9,0.39,8.03,73.1,172.3,139.8,2,NA,NA,"cladocera","Below",15396
