sequence_ID,sample_ID,sequencing_ID,sample_type,organism_water,number,time_point,date,lake,elevation_m,temp_C,chla_ug.L,pH,DO_perc,spc,cond,DOC,TDN,TDP
209_16S,49_Z,MP_130_16S,Zooplankton,Daphnia,30,5,2022-08-22,Blue,3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA
26_16S,50_Z,MP_186_16S,Zooplankton,Daphnia,30,5,2022-08-22,Blue,3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA
281_16S,209_Z,MP_210_16S,Zooplankton,Calanoid,50,5,2022-08-22,Blue,3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA
308_16S,207_Z,MP_239_16S,Zooplankton,Calanoid,50,5,2022-08-22,Blue,3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA
330_16S,211_Z,MP_264_16S,Zooplankton,Daphnia,30,5,2022-08-22,Blue,3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA
332_16S,213_Z,MP_266_16S,Zooplankton,Daphnia,30,5,2022-08-22,Blue,3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA
337_16S,206_Z,MP_271_16S,Zooplankton,Calanoid,50,5,2022-08-22,Blue,3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA
341_16S,208_Z,MP_276_16S,Zooplankton,Calanoid,50,5,2022-08-22,Blue,3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA
343_16S,214_Z,MP_278_16S,Zooplankton,Daphnia,30,5,2022-08-22,Blue,3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA
345_16S,210_Z,MP_280_16S,Zooplankton,Cyclopoid,50,5,2022-08-22,Blue,3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA
347_16S,212_Z,MP_282_16S,Zooplankton,Daphnia,30,5,2022-08-22,Blue,3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA
73_16S,47_Z,MP_342_16S,Zooplankton,Daphnia,30,5,2022-08-22,Blue,3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA
96_16S,47_W,MP_365_16S,Water,Water,NA,5,2022-08-22,Blue,3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA
01_16S,1_Z22,MP_01_16S,Zooplankton,Calanoid,50,1,2022-06-25,Convict,2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA
107_16S,5_Z22,MP_18_16S,Zooplankton,Calanoid,50,1,2022-06-25,Convict,2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA
131_16S,2_Z22,MP_45_16S,Zooplankton,Calanoid,50,1,2022-06-25,Convict,2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA
136_16S,3_Z22,MP_50_16S,Zooplankton,Calanoid,50,1,2022-06-25,Convict,2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA
182_16S,10_Z22,MP_101_16S,Zooplankton,Daphnia,20,1,2022-06-25,Convict,2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA
202_16S,8_Z22,MP_123_16S,Zooplankton,Daphnia,20,1,2022-06-25,Convict,2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA
204_16S,9_Z22,MP_125_16S,Zooplankton,Daphnia,20,1,2022-06-25,Convict,2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA
220_16S,6_Z22,MP_143_16S,Zooplankton,Daphnia,20,1,2022-06-25,Convict,2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA
249_16S,7_Z22,MP_174_16S,Zooplankton,Daphnia,20,1,2022-06-25,Convict,2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA
39_16S,50_W,MP_308_16S,Water,Water,NA,1,2022-06-25,Convict,2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA
08_16S,28_Z,MP_08_16S,Zooplankton,Calanoid,40,2,2022-07-07,Convict,2315,15.3,0.28,7.14,84.5,163.2,137.2,1.1,NA,4.33
144_16S,26_Z,MP_59_16S,Zooplankton,Calanoid,50,2,2022-07-07,Convict,2315,15.3,0.28,7.14,84.5,163.2,137.2,1.1,NA,4.33
174_16S,17_Z,MP_92_16S,Zooplankton,Calanoid,50,2,2022-07-07,Convict,2315,15.3,0.28,7.14,84.5,163.2,137.2,1.1,NA,4.33
353_16S,27_Z,MP_289_16S,Zooplankton,Calanoid,50,2,2022-07-07,Convict,2315,15.3,0.28,7.14,84.5,163.2,137.2,1.1,NA,4.33
53_16S,25_W,MP_322_16S,Water,Water,NA,2,2022-07-07,Convict,2315,15.3,0.28,7.14,84.5,163.2,137.2,1.1,NA,4.33
05_16S,78_Z,MP_05_16S,Zooplankton,Calanoid,50,3,2022-07-22,Convict,2315,18.2,0.20,8.34,76.7,164.8,143.5,0.8,103.23,204.95
118_16S,79_Z,MP_30_16S,Zooplankton,Calanoid,50,3,2022-07-22,Convict,2315,18.2,0.20,8.34,76.7,164.8,143.5,0.8,103.23,204.95
172_16S,76_Z,MP_90_16S,Zooplankton,Calanoid,50,3,2022-07-22,Convict,2315,18.2,0.20,8.34,76.7,164.8,143.5,0.8,103.23,204.95
181_16S,84_Z,MP_100_16S,Zooplankton,Bosmina,50,3,2022-07-22,Convict,2315,18.2,0.20,8.34,76.7,164.8,143.5,0.8,103.23,204.95
190_16S,87_Z,MP_110_16S,Zooplankton,Bosmina,50,3,2022-07-22,Convict,2315,18.2,0.20,8.34,76.7,164.8,143.5,0.8,103.23,204.95
208_16S,85_Z,MP_129_16S,Zooplankton,Bosmina,50,3,2022-07-22,Convict,2315,18.2,0.20,8.34,76.7,164.8,143.5,0.8,103.23,204.95
211_16S,83_Z,MP_133_16S,Zooplankton,Daphnia,30,3,2022-07-22,Convict,2315,18.2,0.20,8.34,76.7,164.8,143.5,0.8,103.23,204.95
218_16S,81_Z,MP_140_16S,Zooplankton,Daphnia,30,3,2022-07-22,Convict,2315,18.2,0.20,8.34,76.7,164.8,143.5,0.8,103.23,204.95
222_16S,82_Z,MP_145_16S,Zooplankton,Daphnia,30,3,2022-07-22,Convict,2315,18.2,0.20,8.34,76.7,164.8,143.5,0.8,103.23,204.95
231_16S,86_Z,MP_155_16S,Zooplankton,Bosmina,50,3,2022-07-22,Convict,2315,18.2,0.20,8.34,76.7,164.8,143.5,0.8,103.23,204.95
251_16S,80_Z,MP_177_16S,Zooplankton,Daphnia,30,3,2022-07-22,Convict,2315,18.2,0.20,8.34,76.7,164.8,143.5,0.8,103.23,204.95
77_16S,31_W,MP_346_16S,Water,Water,NA,3,2022-07-22,Convict,2315,18.2,0.20,8.34,76.7,164.8,143.5,0.8,103.23,204.95
267_16S,162_Z,MP_194_16S,Zooplankton,Calanoid,50,4,2022-08-05,Convict,2315,18.4,0.81,8.48,78.9,178.5,156.0,51.9,NA,4.02
273_16S,153_Z,MP_201_16S,Zooplankton,Bosmina,50,4,2022-08-05,Convict,2315,18.4,0.81,8.48,78.9,178.5,156.0,51.9,NA,4.02
284_16S,154_Z,MP_213_16S,Zooplankton,Daphnia,30,4,2022-08-05,Convict,2315,18.4,0.81,8.48,78.9,178.5,156.0,51.9,NA,4.02
286_16S,152_Z,MP_215_16S,Zooplankton,Bosmina,50,4,2022-08-05,Convict,2315,18.4,0.81,8.48,78.9,178.5,156.0,51.9,NA,4.02
294_16S,160_Z,MP_224_16S,Zooplankton,Cyclopoid,50,4,2022-08-05,Convict,2315,18.4,0.81,8.48,78.9,178.5,156.0,51.9,NA,4.02
307_16S,158_Z,MP_238_16S,Zooplankton,Cyclopoid,50,4,2022-08-05,Convict,2315,18.4,0.81,8.48,78.9,178.5,156.0,51.9,NA,4.02
310_16S,155_Z,MP_242_16S,Zooplankton,Daphnia,30,4,2022-08-05,Convict,2315,18.4,0.81,8.48,78.9,178.5,156.0,51.9,NA,4.02
312_16S,167_Z,MP_244_16S,Zooplankton,Daphnia,30,4,2022-08-05,Convict,2315,18.4,0.81,8.48,78.9,178.5,156.0,51.9,NA,4.02
317_16S,161_Z,MP_249_16S,Zooplankton,Cyclopoid,50,4,2022-08-05,Convict,2315,18.4,0.81,8.48,78.9,178.5,156.0,51.9,NA,4.02
336_16S,156_Z,MP_270_16S,Zooplankton,Daphnia,30,4,2022-08-05,Convict,2315,18.4,0.81,8.48,78.9,178.5,156.0,51.9,NA,4.02
340_16S,159_Z,MP_275_16S,Zooplankton,Cyclopoid,50,4,2022-08-05,Convict,2315,18.4,0.81,8.48,78.9,178.5,156.0,51.9,NA,4.02
346_16S,157_Z,MP_281_16S,Zooplankton,Daphnia,30,4,2022-08-05,Convict,2315,18.4,0.81,8.48,78.9,178.5,156.0,51.9,NA,4.02
35_16S,163_Z,MP_285_16S,Zooplankton,Calanoid,50,4,2022-08-05,Convict,2315,18.4,0.81,8.48,78.9,178.5,156.0,51.9,NA,4.02
44_16S,37_W,MP_313_16S,Water,Water,NA,4,2022-08-05,Convict,2315,18.4,0.81,8.48,78.9,178.5,156.0,51.9,NA,4.02
37_16S,256_Z,MP_306_16S,Zooplankton,Cyclopoid,50,5,2022-08-23,Convict,2315,20.9,0.39,8.03,73.1,172.3,139.8,2.00,NA,NA
38_16S,251_Z,MP_307_16S,Zooplankton,Calanoid,50,5,2022-08-23,Convict,2315,20.9,0.39,8.03,73.1,172.3,139.8,2.00,NA,NA
