"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV10667","Bacteria","Patescibacteria","Parcubacteria",NA,NA,NA,NA
"ASV10670","Bacteria","Margulisbacteria",NA,NA,NA,NA,NA
"ASV10672","Bacteria","Patescibacteria","Parcubacteria",NA,NA,NA,NA
"ASV10673","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA
"ASV10675","Archaea","Altiarchaeota","Altiarchaeia","Altiarchaeales","Altiarchaeaceae","Candidatus Altiarchaeum",NA
"ASV10676","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV10677","Archaea","Micrarchaeota","Micrarchaeia","Micrarchaeales",NA,NA,NA
"ASV10678","Bacteria","Patescibacteria","Gracilibacteria","Candidatus Peribacteria",NA,NA,NA
"ASV10679","Bacteria","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Pajaroellobacter",NA
"ASV10680","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","WD2101 soil group",NA,NA
"ASV10681","Bacteria","Elusimicrobiota","Elusimicrobia","MVP-88",NA,NA,NA
"ASV10685","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV10688","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA
"ASV10690","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
